id,source_id,url,title,lang,scraped_at,published_at,ai_score,ai_score_zs,ai_score_zs_v2,topic_primary,topic_primary_score,topic_scores
213201,mk_kr,https://www.mk.co.kr/news/economy/12051390,"“36년만에 자산 5조로” 화장품 토대에 의약품·건기식 얹은 콜마, 쑥쑥 컸다 - 매일경제",,2026-05-19 05:35:58.275003+09,2026-05-18 00:00:00+09,,,0.5091532351468617,genai_foundation,0.49610177,"[{""score"": 0.4961017668247223, ""topic"": ""genai_foundation""}, {""score"": 0.4699823260307312, ""topic"": ""ai_infra_compute""}, {""score"": 0.45087194442749023, ""topic"": ""health_bio""}]"
213197,mk_kr,https://www.mk.co.kr/news/business/12051281,"""스타일러는 필수 가전"" 中 진격하는 LG - 매일경제",,2026-05-19 05:35:55.180927+09,2026-05-18 00:00:00+09,,,0.5000677968671113,ai_infra_compute,0.5533265,"[{""score"": 0.5533264875411987, ""topic"": ""ai_infra_compute""}, {""score"": 0.5191040635108948, ""topic"": ""robotics_autonomy""}, {""score"": 0.5078579187393188, ""topic"": ""enterprise_industry""}]"
213196,mk_kr,https://www.mk.co.kr/news/business/12051282,"""물류 로봇 스트레치 결합해 택배용 모빌리티 개척할 것"" - 매일경제",,2026-05-19 05:35:54.406186+09,2026-05-18 00:00:00+09,,,0.5000519452184463,robotics_autonomy,0.7481991,"[{""score"": 0.7481991052627563, ""topic"": ""robotics_autonomy""}, {""score"": 0.6278092265129089, ""topic"": ""ai_infra_compute""}, {""score"": 0.6221636533737183, ""topic"": ""enterprise_industry""}]"
213195,mk_kr,https://www.mk.co.kr/news/business/12051273,법원도 파업 제동 … 오늘 협상 불발땐 정부 긴급조정 유력 - 매일경제,,2026-05-19 05:35:53.557257+09,2026-05-18 00:00:00+09,,,0.5065698493750316,security_trust,0.37631103,"[{""score"": 0.3763110339641571, ""topic"": ""security_trust""}, {""score"": 0.3640734553337097, ""topic"": ""enterprise_industry""}, {""score"": 0.31959182024002075, ""topic"": ""ai_infra_compute""}]"
213194,mk_kr,https://www.mk.co.kr/news/business/12051272,삼전은 파업위기 … 中 CXMT는 깜짝 실적·공격투자 예고 - 매일경제,,2026-05-19 05:35:52.835969+09,2026-05-18 00:00:00+09,,,0.5000668387172621,ai_infra_compute,0.501274,"[{""score"": 0.5012739896774292, ""topic"": ""ai_infra_compute""}, {""score"": 0.456828773021698, ""topic"": ""enterprise_industry""}, {""score"": 0.422920286655426, ""topic"": ""robotics_autonomy""}]"
213192,mk_kr,https://www.mk.co.kr/news/business/12051259,"李 ""과유불급…경영권도 존중돼야"" - 매일경제",,2026-05-19 05:35:51.330881+09,2026-05-18 00:00:00+09,,,0.5042057584940269,enterprise_industry,0.342899,"[{""score"": 0.34289899468421936, ""topic"": ""enterprise_industry""}, {""score"": 0.31159669160842896, ""topic"": ""security_trust""}, {""score"": 0.2972096800804138, ""topic"": ""genai_foundation""}]"
213191,mk_kr,https://www.mk.co.kr/news/it/12051249,"CT, ‘클래스팅 AI’에 학교 전용 바이브코딩 기능 출시 - 매일경제",,2026-05-19 05:35:50.534151+09,2026-05-18 00:00:00+09,,,0.5017795793798278,ai_infra_compute,0.70011955,"[{""score"": 0.7001195549964905, ""topic"": ""ai_infra_compute""}, {""score"": 0.6766214966773987, ""topic"": ""security_trust""}, {""score"": 0.6556769609451294, ""topic"": ""enterprise_industry""}]"
213188,mk_kr,https://www.mk.co.kr/news/business/12051158,"한화, 창원서 '맑은학교 환경운동회' - 매일경제",,2026-05-19 05:35:48.402661+09,2026-05-18 00:00:00+09,,,0.5006642393235162,ai_infra_compute,0.568207,"[{""score"": 0.5682070255279541, ""topic"": ""ai_infra_compute""}, {""score"": 0.5558215379714966, ""topic"": ""genai_foundation""}, {""score"": 0.5029762983322144, ""topic"": ""security_trust""}]"
213187,mk_kr,https://www.mk.co.kr/news/business/12051157,"LG엔솔, 차세대 배터리 공로자 시상 - 매일경제",,2026-05-19 05:35:47.583407+09,2026-05-18 00:00:00+09,,,0.5213338357140043,ai_infra_compute,0.5630678,"[{""score"": 0.5630677938461304, ""topic"": ""ai_infra_compute""}, {""score"": 0.5269566774368286, ""topic"": ""genai_foundation""}, {""score"": 0.489360511302948, ""topic"": ""security_trust""}]"
213186,mk_kr,https://www.mk.co.kr/news/stock/12050935,“美국채 믿었다가 -14%” … 요즘 부자들 ‘브라질 달러채’ 담는 이유 - 매일경제,,2026-05-19 05:35:46.899821+09,2026-05-01 00:00:00+09,,,0.51717405336769,ai_infra_compute,0.25914162,"[{""score"": 0.25914162397384644, ""topic"": ""ai_infra_compute""}, {""score"": 0.2526872754096985, ""topic"": ""enterprise_industry""}]"
213184,mk_kr,https://www.mk.co.kr/news/stock/12051315,[단독]첫 복수의결권 상장사 탄생 임박에…거래소 ‘최다의결권자’ 규정 손본다 - 매일경제,,2026-05-19 05:35:45.594422+09,2026-05-18 00:00:00+09,,,0.5000659497490995,genai_foundation,0.504782,"[{""score"": 0.5047820210456848, ""topic"": ""genai_foundation""}, {""score"": 0.47735339403152466, ""topic"": ""ai_infra_compute""}, {""score"": 0.45468926429748535, ""topic"": ""enterprise_industry""}]"
213183,mk_kr,https://www.mk.co.kr/news/stock/12051311,하이리움 창업자 첫 '복수의결권'…거래소 '최다의결권 규정' 손본다 - 매일경제,,2026-05-19 05:35:44.849953+09,2026-05-18 00:00:00+09,,,0.5001522583624652,genai_foundation,0.53941554,"[{""score"": 0.5394155383110046, ""topic"": ""genai_foundation""}, {""score"": 0.48376986384391785, ""topic"": ""ai_infra_compute""}, {""score"": 0.45703840255737305, ""topic"": ""enterprise_industry""}]"
